ptbxl_plus_feature,base_feature,location,summary_statistic,derivability,description_found,description_id,ecgdeli_feature,unit,description,comment,recipe_status,still_missing_for_exact_reproduction
ST_Elev_II_count,ST_Elev,II,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_III,ST_Elev,III,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_III_iqr,ST_Elev,III,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_III_count,ST_Elev,III,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V1,ST_Elev,V1,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V1_iqr,ST_Elev,V1,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V1_count,ST_Elev,V1,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V2,ST_Elev,V2,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V2_iqr,ST_Elev,V2,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V2_count,ST_Elev,V2,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V3,ST_Elev,V3,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V3_iqr,ST_Elev,V3,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V3_count,ST_Elev,V3,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V4,ST_Elev,V4,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V4_iqr,ST_Elev,V4,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V4_count,ST_Elev,V4,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V5,ST_Elev,V5,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V5_iqr,ST_Elev,V5,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V5_count,ST_Elev,V5,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V6,ST_Elev,V6,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V6_iqr,ST_Elev,V6,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_V6_count,ST_Elev,V6,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_aVF,ST_Elev,aVF,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_aVF_iqr,ST_Elev,aVF,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_aVF_count,ST_Elev,aVF,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_aVL,ST_Elev,aVL,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_aVL_iqr,ST_Elev,aVL,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_aVL_count,ST_Elev,aVL,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_aVR,ST_Elev,aVR,mean,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_aVR_iqr,ST_Elev,aVR,iqr,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
ST_Elev_aVR_count,ST_Elev,aVR,count,unknown_recipe,True,ST_Elev_X,STc_X,mV,ST elevation/depression from multiple Gaussian fits in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
HA__Global,HA_,Global,mean,unknown_recipe,True,HA__Global,elHA,integer,"electrical heart axis (1: left axis deviation, 2: horizontal axis, 3: normal axis, 4: vertical axis, 5: right axis, 6: extreme right axis deviation)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
HA__Global_iqr,HA_,Global,iqr,unknown_recipe,True,HA__Global,elHA,integer,"electrical heart axis (1: left axis deviation, 2: horizontal axis, 3: normal axis, 4: vertical axis, 5: right axis, 6: extreme right axis deviation)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
HA__Global_count,HA_,Global,count,unknown_recipe,True,HA__Global,elHA,integer,"electrical heart axis (1: left axis deviation, 2: horizontal axis, 3: normal axis, 4: vertical axis, 5: right axis, 6: extreme right axis deviation)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
